piso,tope,max_examen,pend,limite,costo_nuevo,diferencia_limite,cambio_porcen_limite,costo_viejo,diferencia_metodo,FIJO20_diferencia_limite_boot,FIJO20_media_boot,FIJO20_std_boot,FIJO20_porcentaje_inferior_0,MITAD_MAS_diferencia_limite_boot,MITAD_MAS_media_boot,MITAD_MAS_std_boot,MITAD_MAS_porcentaje_inferior_0,DOBLE_diferencia_limite_boot,DOBLE_media_boot,DOBLE_std_boot,DOBLE_porcentaje_inferior_0
8000,30000,110,275.0,1260000.0,2576500.0,-1316500.0,-1.04484126984127,686400,-1890100.0,"[    550.  -33050.  407875.   90000.   26950.  237500.   77875.   -3050.
  267500.   86950.  177500.  280175.  -32500.   86950.  116950.  177500.
  417500.  197875.   17875.  279625. -132125.  -50375.   30550.   77875.
 -239450.]",102601.0,154247.4632660129,0.24,"[-212500.  -92500.  -12125. -282675.  -92500. -342675.   -2500. -109825.
 -529825. -289825.  -49825. -319825. -409825. -153050. -182500. -122500.
 -452500. -242500. -252125.   17325. -149450. -242500. -243050. -432675.
 -303050.]",-220200.0,143594.1917349027,0.96,"[-439825. -512500. -542500. -243050. -242500. -422500. -422500. -542500.
 -499825. -542500.  -63050. -289825. -453050. -432125. -342125. -582125.
 -392500. -362500. -213050. -243050. -362500. -362500. -452500. -453050.
 -512500.]",-397066.0,123852.73430166974,1.0
8000,30000,150,183.0,1260000.0,1751585.0,-491585.0,-0.3901468253968254,686400,-1065185.0,"[  29657.  285887.  170256.  293184.  321354.  562532.   27988.  234345.
   28182.  -63282.  -53869.  174465.  -21793.   71998.   78769.  165092.
  208777.   -4197.  -95907.  288129. -238295.   64352.  215313.   44663.
   37492.]",113003.68,164619.03681548376,0.24,"[-239879. -200037.  -42466.  398642.  -16589. -392567.   89789.  -36690.
 -171370.  -83045.  -38480. -433861. -161614. -230009.  -12146.  247521.
 -397731. -298335. -257681.  -53400.  169919.  158150. -137487. -264910.
   -6015.]",-96411.64,201549.01652508852,0.8,"[-229391. -358987. -276427. -379717. -159515. -451429. -362699. -431665.
 -379065. -233474. -262817. -433861. -439717. -311585. -200426. -387849.
 -380529. -101345. -295350. -108745. -320529. -147620. -173554.  151854.
 -414841.]",-283571.32,138472.5936557036,0.96
8000,30000,180,147.0,1260000.0,1429424.0,-169424.0,-0.13446349206349206,686400,-743024.0,"[327219. 266028. 350801. 644369. 274175. 268589. 122037. 300844. 467682.
 488556. 148830. 267057.  77411. 199754. 387381. 272914. 392170. 222307.
 158617.  87136. 360859. 211429. 316720. 121658. 245889.]",279217.28,130776.00144323728,0.0,"[  63910.   36444.  209750.  367180.  -93814.   83314.  -83230.  -12190.
  393493.   72289.  216806.  122834.  151035.  118571.  104188. -115191.
 -126069.   64498. -120189.  -60027.  223398.   59291.   66200.    9628.
 -125922.]",65047.88,140893.17238768385,0.32,"[  -5428.  -39594.  -82054.  -37095. -197403.   25860. -122100. -164560.
   85813.  -18952.   62378.  -70232.  -86905. -128274. -146711. -238099.
 -120924.  -76321. -217898. -166030. -185496.  146207. -167500.   38502.
  -84700.]",-79900.64,97670.44161951149,0.8
8000,35000,110,338.0,1260000.0,3002280.0,-1742280.0,-1.3827619047619049,686400,-2315880.0,"[ -71956. -223110. -489364.  -36320.  103680. -233210.  -83110. -127574.
  -71956. -209364.  -48746.  301890.  -92574. -211956. -140000. -197574.
 -139364. -232574.  -34364.  523680. -280000.  161890.  -71956.   33680.
  278044.]",-63688.32,207314.71067663675,0.76,"[-407574. -337574.  243680. -456956. -596320. -503746.   33044. -268210.
 -608110. -524364. -281956. -701320. -538110. -664364. -328110. -456320.
 -246320. -302574. -582574. -363110. -351320. -407574. -524364. -491320.
 -338210.]",-400147.04,203409.3138548931,0.92,"[-736320. -888110. -771320. -792574. -491956. -666320. -806320. -818110.
 -281320. -631320. -596320. -372574. -631320. -503110. -666956. -561320.
 -771320. -771320. -386956. -433110. -596320. -701956. -652574. -713746.
 -421320.]",-626555.68,157125.13850831636,1.0
8000,35000,150,225.0,1260000.0,2037375.0,-777375.0,-0.6169642857142857,686400,-1350975.0,"[ 415350. -359725.  -68350.  -47200.  -64075.  -17925.  -31550.    4125.
 -230075.  198500.   37675.   70750. -223775.  450800.   12225. -119900.
 -156250. -119550. -213075.  289425.  125000. -185275.  114975. -159400.
  -69475.]",-13871.0,193629.52379221513,0.6,"[-589750. -583225. -183475. -446275. -151750. -627575. -170550. -218600.
 -487575. -633525. -384375. -306950. -402600. -289275. -319325. -497375.
 -296250. -314375.   -4100. -297375. -328100. -213525. -407675. -420050.
 -355450.]",-357164.0,154766.27266300627,1.0,"[-197900. -438725. -564325. -777375. -613175. -414200.   25950. -548125.
 -169200. -177300. -416675. -619700. -338125. -548125. -433675. -504675.
 -504000. -442550. -469800. -605750. -251350. -370875. -707375. -278025.
 -622175.]",-439490.0,184668.12949179942,0.96
8000,35000,180,180.0,1260000.0,1655560.0,-395560.0,-0.31393650793650796,686400,-969160.0,"[-292220.   71440.   47500.  385700.   -4960.   13500.  110840.  -23760.
  276300.   17720.   69640.   62080.   51460.  121460.  -35440.  141520.
  -24200.  432740.  388400.   22940.  131820.  140900.  234900.   22040.
 -141340.]",88839.2,159173.88011655683,0.24,"[-235800. -215020.  410000.  195160. -261800. -282580. -344660.   34460.
  -54240. -179480. -332620. -129640. -330360. -217180.  243280. -320280.
  -26360. -245880.  119300.  -78620.  272620.  -88700. -103280. -230940.
 -107240.]",-100394.4,204385.681887553,0.76,"[-339360. -264680. -432560. -350420. -284560. -291760. -172380. -325240.
 -486720. -310200. -237600. -180020. -238860. -158060.  179140. -227080.
 -140880. -258200. -268280. -365900.  -21400. -378040. -292120. -274400.
 -176160.]",-251829.6,130590.02131801647,0.96
8000,40000,110,400.0,1260000.0,3424000.0,-2164000.0,-1.7174603174603174,686400,-2737600.0,"[-154800. -354800. -114800. -365200. -500000. -726000.   19200. -405200.
 -260000. -565200.  -20800. -434800. -285200. -300800. -660800. -406000.
  140000. -394000. -619200. -245200. -460000. -434000. -459200. -274000.
 -420000.]",-348032.0,203998.27199268134,0.92,"[ -794000.  -460000.  -740800.  -299200.  -900000.  -620000.  -940000.
  -674800.  -739200.  -314000.  -819200.  -540000.  -634000.  -660800.
  -540800.  -900800.  -620000. -1020000.  -460000.  -354000.  -794000.
  -740000.  -460000.  -540800.  -620800.]",-647488.0,191008.59105286337,1.0,"[ -980000.  -460800. -1060000.  -700000. -1045200. -1194000. -1220000.
  -700000.  -980000. -1100000.  -940000.  -820000. -1060000.  -700800.
  -820000.  -525200.  -900000. -1060000. -1100800. -1220000.  -980000.
  -740000.  -900000.  -980000. -1020800.]",-928304.0,198258.087310455,1.0
8000,40000,150,267.0,1260000.0,2323085.0,-1063085.0,-0.843718253968254,686400,-1636685.0,"[-377619. -371865. -535950. -198622. -373230. -242854. -385185. -208461.
 -261237.   64747. -419194. -181090.    2980.   79816.  -30315.  163931.
 -148139.  -66684. -508569. -218647. -571421.  -16014. -457088. -235421.
 -113963.]",-224403.76,199081.29773261573,0.84,"[-360681. -803641. -883524. -372055. -750014. -406712. -576180. -462922.
 -365073. -271693. -647556. -474740. -414151. -268172. -687556. -156142.
 -752961. -627461. -535673. -478338. -728664. -755888. -375216. -726341.
 -581547.]",-538516.04,189402.58321733208,1.0,"[ -574151.  -436846.   -49599.  -663763.  -729732.  -438742.  -572709.
  -561495.  -725954.  -484993.  -806034.  -964058. -1050546.  -951856.
  -426193.  -662428.  -392337.  -971000.  -541240.  -770266.  -660332.
  -418837.  -824804.  -601028.  -586049.]",-634599.68,220436.6854647783,1.0
8000,40000,180,213.0,1260000.0,1881696.0,-621696.0,-0.4934095238095238,686400,-1195296.0,"[  95173. -164906. -166065.  376859. -252474.   36573.  173037. -228286.
  -43020. -219340.   44028. -223174.  -78378.  -32890.  -94259.  117018.
 -106306.  -46215.  148968.  451340.  197557.  -82118.   33284.   12811.
  236868.]",7443.4,181724.99573366347,0.52,"[-324399. -256521. -110566. -493145. -584998. -361035. -425173. -355923.
 -327475. -133902. -524575. -352941.   96971. -334410. -225091. -322150.
 -389270. -460130. -435516. -218701. -501571. -311074. -354858.   35602.
 -421884.]",-323709.4,160206.32321553354,0.92,"[-531084. -451184. -396963. -590536. -613753. -528528. -370526. -469621.
 -517878. -466094. -442758. -529380. -508080. -515961. -649988. -421884.
 -676093. -207199. -635811. -622818. -508080. -315121. -212217. -552716.
 -393436.]",-485108.36,120674.05758020404,1.0
8000,45000,110,462.0,1260000.0,3845600.0,-2585600.0,-2.052063492063492,686400,-3159200.0,"[-689890. -493680. -584644. -883790.  242174. -494644. -253790. -748790.
 -432826. -869890. -599890. -493680. -584644. -612826. -629644. -420854.
 -510854. -523790. -419890.  -88680. -657826. -718680. -764644. -825854.
 -809036.]",-554822.48,245262.11306226978,0.96,"[-1213680.  -763680.  -657826.  -583680. -1033680.  -854644. -1213680.
 -1094890.  -779890. -1169036. -1438680. -1033680.  -898680.  -943680.
  -882826.  -914890.  -719644. -1184890.  -792826.  -959890.  -882826.
  -509890.  -719644. -1259644.  -883790.]",-935606.64,222796.11480829373,1.0,"[-1108790. -1123680. -1422826. -1303680. -1348680. -1528680. -1258680.
 -1078680. -1185854.  -584644. -1139890. -1197826. -1123680. -1439644.
  -853680.  -718680. -1258680. -1123680. -1303680.  -837826. -1499890.
 -1078680. -1528680. -1438680. -1168680.]",-1186242.8,239772.64018398765,1.0
8000,45000,150,308.0,1260000.0,2603460.0,-1343460.0,-1.0662380952380952,686400,-1917060.0,"[-672700. -175516. -597020.  -82628.  -43956. -837520. -868580. -763796.
 -413356. -166428. -854380. -403000. -108024. -655216. -219168. -398540.
 -483700. -739432.   63908. -641632. -659220.  -63580. -661904. -269504.
 -159968.]",-434994.4,287576.8388136986,0.96,"[-1100804.  -790008.  -686912. -1120200.  -702632.  -843284.  -790424.
 -1051600. -1020312. -1037064.  -694352.  -868928.  -483752. -1012036.
  -749984.  -619456.  -897792. -1311436.  -918160.  -784204.  -664752.
 -1203352.  -773164.  -764592. -1099572.]",-879550.88,198111.29512560763,1.0,"[-1096808. -1343460. -1231680. -1088176.  -718032.  -769988. -1120200.
 -1311436. -1308364.  -723892. -1039828. -1155928. -1046912. -1082244.
 -1120200. -1164772.  -976972. -1175940. -1151616.  -705412. -1087488.
  -248140.  -960996.  -854136. -1275716.]",-1030333.44,242523.55087588175,1.0
8000,45000,180,247.0,1260000.0,2113624.0,-853624.0,-0.6774793650793651,686400,-1427224.0,"[-317216. -431371.   82498.  147404.  179363. -210622. -142999.  -72755.
  190135. -101750.  177291.   93956. -280317. -323240.    4748.  107788.
    2772.  -32645.  -47959.  -65990.   43870.  -36199. -166313. -126450.
 -144577.]",-58823.12,165890.73989836083,0.6,"[-455769. -289305. -247123. -491337. -475282. -690899. -460613. -523049.
 -724834. -303535. -386815. -623180. -192934. -534507. -604504. -474198.
  132831. -519495. -545279. -716436. -633005. -548490. -351892. -574027.
 -590082.]",-472950.36,185551.80378231412,0.96,"[-526013. -693959. -370266. -450733. -503536. -689513. -642240. -762817.
 -273154. -680278. -559454. -487234. -602034. -874008. -528236. -806632.
 -489704. -422328. -780601. -668916. -510109. -638686. -820217. -790975.
 -281552.]",-594127.8,162693.1223736271,1.0
8000,50000,110,525.0,1260000.0,4271500.0,-3011500.0,-2.390079365079365,686400,-3585100.0,"[ -271625. -1105875.  -538550.  -587500.  -287500. -1188550.  -838950.
  -505875.  -456925. -1120575.  -937500.  -787500.  -887500.  -255875.
  -538550.  -455875.  -687500.  -787500. -1187500.  -688550.  -588950.
 -1105875.  -788550. -1140000.  -721625.]",-738431.0,286952.28307856346,1.0,"[-1138550. -1287500. -1270575.  -671625.  -437500. -1287500. -1187500.
 -1237500. -1637500. -1287500.  -987500.  -887500. -1120575. -1588550.
 -1187500. -1656925.  -806925. -1287500. -1255875.  -837500. -1137500.
 -1320575. -1088950. -1655875. -1438550.]",-1188042.0,295494.96719233645,1.0,"[-1588550. -1237500. -1687500. -1237500. -1587500. -1187500. -1387500.
 -1587500. -1537500. -1187500. -1205875. -1037500. -1620575. -1238550.
 -1537500. -1370575. -1387500. -1455875. -1588550. -1287500. -1605875.
 -1620575. -1437500. -1338550. -1187500.]",-1405842.0,179588.24846297712,1.0
8000,50000,150,350.0,1260000.0,2889250.0,-1629250.0,-1.2930555555555556,686400,-2202850.0,"[-566700. -558050. -446500. -564700. -246150. -762900. -536700. -470600.
 -657300. -689150. -321300. -137050. -679400. -502050. -591600. -206600.
 -486700. -974400. -469950. -535300. -700300. -677250. -481450. -965700.
 -277550.]",-540214.0,202650.3439523358,1.0,"[ -905500. -1174450.  -751050. -1085950. -1193250.  -997150. -1204500.
  -748500. -1530650.  -688050. -1460450. -1515300.  -405900.  -869550.
  -988400. -1086650.  -959750.  -749600. -1104450.  -506250. -1260050.
 -1095400.  -790500.  -647550.  -682100.]",-976038.0,292286.2659380355,1.0,"[-1156550. -1233450. -1504450. -1286650. -1343300. -1257250. -1515300.
 -1449600. -1139800.  -818450. -1454450. -1038400. -1185200. -1043600.
 -1244000. -1250250. -1096100. -1304450.  -947500. -1286300. -1579250.
 -1440500. -1169850. -1483450.  -896450.]",-1244982.0,197517.30905416873,1.0
8000,50000,180,280.0,1260000.0,2339760.0,-1079760.0,-0.8569523809523809,686400,-1653360.0,"[-191840.  209720. -153200. -537400. -317360. -367200. -312720. -464440.
 -182040.  -32600. -430400. -337520. -393840. -733920. -673280. -254040.
 -327000. -643440. -242120. -199520. -225880. -344520. -728040. -588800.
 -254720.]",-349044.8,216513.73375599063,0.96,"[-957880. -857320. -451560. -560800. -692040. -663320. -732240. -529160.
 -752400. -685880. -216640. -650440. -695280. -369880. -396360. -614160.
 -777920. -841080. -677480. -675800. -783640. -930880. -560240. -710960.
 -772600.]",-662238.4,170673.3850060987,1.0,"[ -701440.  -202080.  -864600.  -743600.  -475920.  -960000.  -556600.
 -1062680.  -644840. -1006240.  -703120.  -812920.  -770480.  -873160.
  -175760.  -837600.  -991800.  -800760.  -674120.  -768520.  -382920.
  -828760.  -867840.  -643320. -1001320.]",-734016.0,227698.4810489521,1.0
10000,30000,110,250.0,1260000.0,2585000.0,-1325000.0,-1.0515873015873016,686400,-1898600.0,"[  45750.   55000.  210000.  -21250.   68750.  -35000.  294500.  115000.
  -95500.  249250. -163750.   76250. -185000.  295000. -350750. -110750.
  -14250.  355000.  189250.  205000.  105750.  459250.  166250. -103750.
  144500.]",78180.0,184242.70026245274,0.36,"[-223750.   -5000. -215500.   -5000. -110750. -155500. -290750. -275500.
 -155500. -140750. -125500. -305000.  -13750. -313750. -185000. -305000.
 -134250.   -5000.  -95000.  -35000.  -95000. -110750. -335000. -509500.
 -305000.]",-178020.0,125575.63298665867,1.0,"[-305000. -305000. -223750. -185000. -365000. -463750. -455000.  -35000.
 -463750. -215000.  -65000. -215500. -545000. -395000. -245000. -185000.
 -365000. -471250. -605000.  -95000. -605000. -275000. -395500. -545000.
 -335000.]",-334340.0,158647.2010468511,1.0
10000,30000,150,167.0,1260000.0,1767585.0,-507585.0,-0.4028452380952381,686400,-1081185.0,"[ 190991. -122950.   19742.  110089.  291886.  298065.  410623.  -77479.
 -140819.  562166.  287958.  -62469.  276842. -176597. -108962.  356969.
  -69610.  178205.   38219.  -24847.  258506.   89795.  106535.   46749.
  377330.]",124677.48,196309.83438230903,0.32,"[-237585. -315508.   12668.  242160.  284604. -126938.  128793.  -27045.
 -282629.  -78942. -313417. -155809.   37137. -372582.   66662.   11773.
 -231520.  -34466.   97551. -350805.  -55201.   52060.  -73264. -507585.
  -90385.]",-92810.92,193037.02171716595,0.64,"[-133785. -195515. -398841. -219529. -362061. -483056. -401453. -382014.
   84932. -214219.  -78027. -375334. -308995. -471720. -289095. -437338.
 -329202. -172268. -161801. -181654. -447585. -178080. -238220. -199857.
 -357485.]",-277288.08,135553.7108735633,0.96
10000,30000,180,133.0,1260000.0,1440336.0,-180336.0,-0.14312380952380951,686400,-753936.0,"[172955. 368798. 208225. -49114. 122872. 221018. 321799. 363985. 280652.
 393935. 210752. 319513. 309006. 427260. 431890. 274135. 268682. 179871.
 100794. 209821. -45257. 176812. 133271. -61641. -60020.]",211200.56,146138.46673564904,0.16,"[   4801. -141383.  246047.   35549. -142580.  -57651. -208332.  148857.
  -66537.    8126.  -56695.   38899.   71376.  147527. -194234.  132498.
  -22489.  137685.  -92788.  156704.  148857. -126063.   69381.  -72813.
  -96113.]",2745.16,122021.97879847056,0.48,"[-1.21674e+05 -1.08349e+05 -2.34184e+05 -2.20593e+05  1.02099e+05
 -1.01200e+04 -2.13544e+05 -2.40036e+05 -7.34780e+04 -1.75722e+05
  6.36370e+04 -9.38520e+04 -2.32854e+05  2.88990e+04 -1.45000e+02
 -2.75971e+05 -6.69610e+04 -3.58140e+04 -2.72247e+05 -2.88730e+04
 -1.53486e+05 -1.45107e+05 -1.17817e+05  7.60310e+04 -1.82530e+05]",-109307.64,110227.20681025353,0.84
10000,35000,110,312.0,1260000.0,3006600.0,-1746600.0,-1.3861904761904762,686400,-2320200.0,"[-190304. -388680. -269040.   -3680. -248680. -295304.  -39344.  -39344.
  -94040. -163376.  -50304.  136320.  116624. -279336.   -3680.  171320.
 -233376. -213680. -284344. -505304.   70664. -435304. -214344. -374040.
 -104336.]",-157396.48,178622.81174925447,0.84,"[-354344. -353680. -260304. -179344. -563680. -389344. -283680. -354344.
 -843680. -364640. -774344. -294640. -303376. -458680. -198376. -504640.
 -458680. -724040. -843680. -723376. -419336. -318680. -528680. -634344.
 -364640.]",-459862.08,192734.70196182522,1.0,"[-738680. -668680. -563680. -913680. -703680. -774344. -633680. -688376.
 -653376. -668680. -819640. -583376. -773680. -598680. -773680. -704344.
 -773680. -644640. -504640. -703680. -889640. -598680. -828376. -773680.
 -738680.]",-708638.08,98680.61895303252,1.0
